,filename,class,width,height,frames_per_second,num_frames,num_roles_in_video,class_selected(count>20),selected
0,April_09_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,409,6.0,0,False
1,April_09_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,395,1.0,0,False
2,April_09_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,323,1.0,0,False
3,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ba_goo_4.avi,brush_hair,416,240,30.0,246,26.0,0,False
4,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np1_ri_med_3.avi,brush_hair,416,240,30.0,159,6.0,0,False
5,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair,416,240,30.0,137,6.0,0,False
6,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair,416,240,30.0,359,10.0,0,False
7,Aussie_Brunette_Brushing_Hair_II_brush_hair_u_nm_np2_le_med_2.avi,brush_hair,416,240,30.0,191,8.0,0,False
8,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_ba_med_3.avi,brush_hair,320,240,30.0,439,6.0,0,False
9,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,528,,0,False
10,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,647,1.0,0,False
11,Aussie_Brunette_Brushing_Long_Hair_brush_hair_u_nm_np1_fr_med_0.avi,brush_hair,320,240,30.0,260,9.0,0,False
12,Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0.avi,brush_hair,320,240,30.0,79,1.0,0,False
13,Blonde_being_brushed_brush_hair_u_cm_np2_ri_med_1.avi,brush_hair,320,240,30.0,274,,0,False
14,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_1.avi,brush_hair,416,240,30.0,256,10.0,0,False
15,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_2.avi,brush_hair,416,240,30.0,247,4.0,0,False
16,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_fr_goo_4.avi,brush_hair,416,240,30.0,115,6.0,0,False
17,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_le_goo_3.avi,brush_hair,416,240,30.0,181,1.0,0,False
18,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_f_nm_np1_ri_goo_0.avi,brush_hair,416,240,30.0,502,,0,False
19,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_cm_np2_ri_goo_6.avi,brush_hair,416,240,30.0,159,5.0,0,False
20,Brunette_Foxyanya_ultra_silky_long_hair_brushing_hairjob_brush_hair_h_nm_np2_ri_goo_5.avi,brush_hair,416,240,30.0,275,20.0,0,False
21,Brushing_Hair_with_Beth_brush_hair_h_nm_np1_le_goo_0.avi,brush_hair,320,240,30.0,214,8.0,0,False
22,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,143,,0,False
23,Brushing_Hair_with_Beth_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,312,12.0,0,False
24,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,318,7.0,0,False
25,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_1.avi,brush_hair,320,240,30.0,144,5.0,0,False
26,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_2.avi,brush_hair,320,240,30.0,258,2.0,0,False
27,Brushing_Her_Hair__[_NEW_AUDIO_]_UPDATED!!!!_brush_hair_h_cm_np1_le_goo_3.avi,brush_hair,320,240,30.0,105,5.0,0,False
28,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,227,26.0,0,False
29,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,228,10.0,0,False
30,Brushing_hair__the_right_way_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,348,24.0,0,False
31,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,121,5.0,0,False
32,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,295,1.0,0,False
33,Brushing_my_Long_Hair__February_2009_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,83,1.0,0,False
34,Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,331,,0,False
35,Brushing_my_hair_-_December_2008_brush_hair_u_cm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,334,,0,False
36,Brushing_my_hair_-_December_2008_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,470,,0,False
37,Brushing_my_long_hair_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,255,,0,False
38,Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,212,1.0,0,False
39,Brushing_my_long_hair_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,420,3.0,0,False
40,Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,222,6.0,0,False
41,Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,179,6.0,0,False
42,Brushing_my_waist_lenth_hair_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,526,5.0,0,False
43,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,322,13.0,0,False
44,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_0.avi,brush_hair,320,240,30.0,406,4.0,0,False
45,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_cm_np1_le_goo_1.avi,brush_hair,320,240,30.0,202,3.0,0,False
46,Chanta!____THAT_IS_long_blonde_hair!_brush_hair_u_nm_np1_ri_goo_3.avi,brush_hair,320,240,30.0,131,1.0,0,False
47,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,129,,0,False
48,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,257,,0,False
49,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ri_goo_1.avi,brush_hair,320,240,30.0,339,,0,False
50,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,411,,0,False
51,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,279,4.0,0,False
52,Ella_brushing_her_long_blonde_hair___again_brush_hair_u_cm_np1_le_goo_1.avi,brush_hair,320,240,30.0,305,9.0,0,False
53,Haarek_mmen_brush_hair_h_cm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,411,,0,False
54,Haarek_mmen_brush_hair_h_cm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,220,5.0,0,False
55,Haarek_mmen_brush_hair_h_cm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,220,6.0,0,False
56,Lektion_3__-_Das_Haare_b_rsten_brush_hair_h_nm_np1_fr_med_1.avi,brush_hair,320,240,30.0,97,2.0,0,False
57,Lektion_3__-_Das_Haare_b_rsten_brush_hair_h_nm_np1_fr_med_2.avi,brush_hair,320,240,30.0,370,,0,False
58,Lektion_3__-_Das_Haare_b_rsten_brush_hair_h_nm_np1_le_med_0.avi,brush_hair,320,240,30.0,340,7.0,0,False
59,My_Hair_Routine_brush_hair_h_nm_np1_le_goo_0.avi,brush_hair,320,240,30.0,395,,0,False
60,Olivia_Brushing_Hair_Playing_with_Evelyn_brush_hair_u_cm_np1_fr_goo_1.avi,brush_hair,352,240,30.0,348,1.0,0,False
61,Olivia_Brushing_Hair_Playing_with_Evelyn_brush_hair_u_cm_np2_ri_goo_0.avi,brush_hair,352,240,30.0,348,11.0,0,False
62,Prelinger_HabitPat1954_brush_hair_h_nm_np1_ba_med_2.avi,brush_hair,352,240,30.0,541,3.0,0,False
63,Prelinger_HabitPat1954_brush_hair_h_nm_np1_fr_med_26.avi,brush_hair,352,240,30.0,142,1.0,0,False
64,Prelinger_HabitPat1954_brush_hair_u_cm_np1_le_med_10.avi,brush_hair,352,240,30.0,276,8.0,0,False
65,Prelinger_HabitPat1954_brush_hair_u_nm_np1_le_goo_11.avi,brush_hair,352,240,30.0,268,,0,False
66,Silky_Straight_Hair_Original_brush_hair_h_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,387,,0,False
67,Silky_Straight_Hair_Original_brush_hair_h_nm_np1_ba_goo_1.avi,brush_hair,320,240,30.0,177,2.0,0,False
68,Silky_Straight_Hair_Original_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,306,1.0,0,False
69,Slave_brush_my_hair_brush_hair_u_cm_np2_le_goo_0.avi,brush_hair,320,240,30.0,461,,0,False
70,Slave_brush_my_hair_brush_hair_u_cm_np2_le_goo_1.avi,brush_hair,320,240,30.0,424,13.0,0,False
71,Slave_brush_my_hair_brush_hair_u_cm_np2_le_goo_2.avi,brush_hair,320,240,30.0,348,19.0,0,False
72,Trannydude___Brushing_SyntheticHair___OhNOES!__those_fukin_knots!_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,264,1.0,0,False
73,Trannydude___Brushing_SyntheticHair___OhNOES!__those_fukin_knots!_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,239,3.0,0,False
74,Trannydude___Brushing_SyntheticHair___OhNOES!__those_fukin_knots!_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,418,1.0,0,False
75,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_0.avi,brush_hair,320,240,30.0,157,5.0,0,False
76,atempting_to_brush_my_hair_brush_hair_u_nm_np2_le_goo_1.avi,brush_hair,320,240,30.0,130,3.0,0,False
77,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,456,14.0,0,False
78,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,144,1.0,0,False
79,brush_my_hair_without_wearing_the_glasses_brush_hair_u_nm_np1_fr_goo_2.avi,brush_hair,320,240,30.0,215,5.0,0,False
80,brushing_hair_2_brush_hair_h_nm_np1_ba_med_0.avi,brush_hair,416,240,30.0,458,,0,False
81,brushing_hair_2_brush_hair_h_nm_np1_ba_med_1.avi,brush_hair,416,240,30.0,260,,0,False
82,brushing_hair_2_brush_hair_h_nm_np1_ba_med_2.avi,brush_hair,416,240,30.0,243,24.0,0,False
83,brushing_hair_brush_hair_f_cm_np2_ri_goo_0.avi,brush_hair,320,240,30.0,201,14.0,0,False
84,brushing_hair_brush_hair_f_nm_np2_ba_goo_2.avi,brush_hair,320,240,30.0,163,5.0,0,False
85,brushing_hair_brush_hair_f_nm_np2_ba_goo_4.avi,brush_hair,320,240,30.0,178,5.0,0,False
86,brushing_hair_brush_hair_f_nm_np2_ri_goo_1.avi,brush_hair,320,240,30.0,231,22.0,0,False
87,brushing_hair_brush_hair_f_nm_np2_ri_goo_3.avi,brush_hair,320,240,30.0,153,12.0,0,False
88,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_0.avi,brush_hair,320,240,30.0,147,14.0,0,False
89,brushing_jrs_hair_brush_hair_u_cm_np2_le_goo_1.avi,brush_hair,320,240,30.0,282,44.0,0,False
90,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_0.avi,brush_hair,320,240,30.0,268,25.0,0,False
91,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_1.avi,brush_hair,320,240,30.0,410,12.0,0,False
92,brushing_raychel_s_hair_brush_hair_u_cm_np2_ri_goo_2.avi,brush_hair,320,240,30.0,276,28.0,0,False
93,can_somebody_just_brush_my_hair!_brush_hair_u_cm_np2_ri_med_0.avi,brush_hair,320,240,30.0,382,8.0,0,False
94,indianrapunzels_com---silky_long_hair_brushing_brush_hair_u_cm_np2_fr_goo_0.avi,brush_hair,320,240,30.0,490,20.0,0,False
95,indianrapunzels_com---silky_long_hair_brushing_brush_hair_u_cm_np2_ri_goo_1.avi,brush_hair,320,240,30.0,307,25.0,0,False
96,long_hair_Christa__brush_hair_u_nm_np1_le_goo_0.avi,brush_hair,320,240,30.0,164,1.0,0,False
97,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_ba_goo_2.avi,brush_hair,320,240,30.0,116,12.0,0,False
98,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_fr_goo_0.avi,brush_hair,320,240,30.0,246,4.0,0,False
99,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_le_goo_1.avi,brush_hair,320,240,30.0,189,4.0,0,False
100,me_brushing_my_hair_lol_i_was_being_silly_brush_hair_u_nm_np1_ri_goo_3.avi,brush_hair,320,240,30.0,382,5.0,0,False
101,rebecca_golden_hair_brush_hair_h_nm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,259,,0,False
102,red_head_brush_hair_u_cm_np1_ba_goo_0.avi,brush_hair,320,240,30.0,276,1.0,0,False
103,red_head_brush_hair_u_cm_np1_fr_goo_1.avi,brush_hair,320,240,30.0,79,1.0,0,False
104,red_head_brush_hair_u_cm_np1_le_goo_2.avi,brush_hair,320,240,30.0,185,1.0,0,False
105,sarah_brushing_her_hair_brush_hair_h_cm_np1_ri_goo_0.avi,brush_hair,320,240,30.0,123,1.0,0,False
106,sarah_brushing_her_hair_brush_hair_h_cm_np1_ri_goo_1.avi,brush_hair,320,240,30.0,78,2.0,0,False
107,(Rad)Schlag_die_Bank!_cartwheel_f_cm_np1_le_med_0.avi,cartwheel,320,240,30.0,85,3.0,0,False
108,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_ba_bad_8.avi,cartwheel,320,240,30.0,45,,0,False
109,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_3.avi,cartwheel,320,240,30.0,50,,0,False
110,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_4.avi,cartwheel,320,240,30.0,49,,0,False
111,Acrobacias_de_un_fenomeno_cartwheel_f_cm_np1_fr_bad_5.avi,cartwheel,320,240,30.0,47,,0,False
112,Aerial_Cartwheel_Tutorial_By_Jujimufu_cartwheel_f_nm_np1_ri_med_0.avi,cartwheel,320,240,30.0,94,2.0,0,False
113,Bayer__Meisterin_Teresa_Stadler_cartwheel_f_cm_np1_le_med_0.avi,cartwheel,320,240,30.0,43,,0,False
114,Bayer__Meisterin_Teresa_Stadler_cartwheel_f_cm_np1_le_med_2.avi,cartwheel,320,240,30.0,45,6.0,0,False
115,Beim_Radschlag_Hose_gerissen_(Nick)_xD_cartwheel_f_cm_np1_ri_med_0.avi,cartwheel,320,240,30.0,80,3.0,0,False
116,Boden_bung_Spoho_Eignungspr_fung_cartwheel_f_cm_np1_ri_med_2.avi,cartwheel,336,240,30.0,79,1.0,0,False
117,Bodenturnen_2004_cartwheel_f_cm_np1_le_med_0.avi,cartwheel,288,240,30.0,41,,0,False
118,Bodenturnen_2004_cartwheel_f_cm_np1_le_med_4.avi,cartwheel,288,240,30.0,43,3.0,0,False
119,Bodenturnen_2004_cartwheel_f_cm_np1_le_med_5.avi,cartwheel,288,240,30.0,41,2.0,0,False
120,Bodenturnen_2004_cartwheel_f_cm_np1_ri_med_2.avi,cartwheel,288,240,30.0,43,2.0,0,False
121,Bodenturnen_cartwheel_f_cm_np1_le_med_3.avi,cartwheel,320,240,30.0,124,10.0,0,False
